cntry,asn,Frequency
BR,11844.0,5
BR,11896.0,2
BR,11921.0,8
BR,12140.0,7
BR,12956.0,9
BR,12989.0,3
BR,13878.0,8
BR,14282.0,6
BR,14463.0,57
BR,14571.0,23
BR,14840.0,7
BR,14868.0,223
BR,15180.0,23
BR,16397.0,11
BR,16735.0,1361
BR,17222.0,60
BR,17379.0,850
BR,18881.0,5624
BR,19182.0,21
BR,21571.0,7
BR,21574.0,7
BR,22085.0,729
BR,22341.0,10
BR,22381.0,2
BR,22431.0,2
BR,22689.0,141
BR,23105.0,8
BR,23106.0,153
BR,25933.0,10
BR,26592.0,2
BR,26599.0,909
BR,26609.0,43
BR,26615.0,485
BR,26616.0,2
BR,26622.0,6
BR,27652.0,5
BR,27664.0,8
BR,27693.0,1
BR,27697.0,2
BR,27699.0,6758
BR,27724.0,247
BR,28123.0,6
BR,28124.0,8
BR,28125.0,8
BR,28126.0,170
BR,28129.0,2
BR,28130.0,15
BR,28131.0,2
BR,28135.0,251
BR,28138.0,8
BR,28139.0,16
BR,28140.0,3
BR,28141.0,3
BR,28142.0,24
BR,28144.0,14
BR,28145.0,30
BR,28146.0,1
BR,28147.0,3
BR,28152.0,7
BR,28153.0,19
BR,28154.0,2
BR,28156.0,3
BR,28158.0,21
BR,28160.0,14
BR,28161.0,33
BR,28168.0,80
BR,28169.0,9
BR,28171.0,18
BR,28172.0,11
BR,28174.0,12
BR,28183.0,29
BR,28184.0,3
BR,28186.0,41
BR,28187.0,5
BR,28188.0,34
BR,28190.0,11
BR,28191.0,48
BR,28198.0,22
BR,28199.0,22
BR,28201.0,30
BR,28202.0,82
BR,28205.0,106
BR,28207.0,3
BR,28210.0,32
BR,28212.0,1
BR,28218.0,1
BR,28219.0,4
BR,28220.0,215
BR,28224.0,15
BR,28227.0,3
BR,28228.0,2
BR,28229.0,8
BR,28230.0,14
BR,28232.0,6
BR,28233.0,24
BR,28236.0,33
BR,28237.0,44
BR,28238.0,20
BR,28241.0,10
BR,28244.0,21
BR,28245.0,3
BR,28246.0,33
BR,28247.0,8
BR,28249.0,2
BR,28252.0,58
BR,28255.0,6
BR,28258.0,11
BR,28259.0,2
BR,28260.0,61
BR,28263.0,30
BR,28264.0,49
BR,28265.0,11
BR,28266.0,9
BR,28268.0,43
BR,28269.0,4
BR,28270.0,40
BR,28271.0,11
BR,28272.0,2
BR,28273.0,34
BR,28276.0,42
BR,28277.0,8
BR,28279.0,23
BR,28280.0,16
BR,28281.0,10
BR,28283.0,9
BR,28284.0,7
BR,28285.0,66
BR,28286.0,41
BR,28287.0,11
BR,28288.0,16
BR,28292.0,28
BR,28294.0,6
BR,28300.0,29
BR,28302.0,5
BR,28303.0,19
BR,28306.0,23
BR,28308.0,5
BR,28309.0,6
BR,28310.0,17
BR,28311.0,8
BR,28322.0,40
BR,28323.0,20
BR,28326.0,1
BR,28328.0,26
BR,28329.0,16
BR,28330.0,2
BR,28331.0,19
BR,28333.0,20
BR,28334.0,5
BR,28338.0,7
BR,28339.0,6
BR,28340.0,5
BR,28341.0,3
BR,28343.0,42
BR,28346.0,67
BR,28347.0,477
BR,28349.0,19
BR,28352.0,5
BR,28353.0,3
BR,28355.0,21
BR,28359.0,11
BR,28360.0,78
BR,28362.0,8
BR,28364.0,6
BR,28366.0,4
BR,28367.0,1
BR,28368.0,226
BR,28370.0,2
BR,28571.0,7
BR,28572.0,5
BR,28573.0,4821
BR,28576.0,2
BR,28580.0,55
BR,28582.0,2
BR,28583.0,20
BR,28589.0,5
BR,28590.0,23
BR,28591.0,9
BR,28595.0,4
BR,28598.0,25
BR,28606.0,5
BR,28613.0,44
BR,28618.0,5
BR,28620.0,75
BR,28621.0,2
BR,28623.0,5
BR,28624.0,86
BR,28634.0,11
BR,28635.0,65
BR,28637.0,4
BR,28640.0,1
BR,28642.0,32
BR,28644.0,1
BR,28647.0,25
BR,28649.0,58
BR,28650.0,17
BR,28651.0,1
BR,28652.0,29
BR,28653.0,11
BR,28654.0,13
BR,28656.0,1
BR,28657.0,28
BR,28658.0,15
BR,28661.0,56
BR,28665.0,47
BR,28667.0,1
BR,28668.0,33
BR,28670.0,2
BR,53050.0,6
BR,53051.0,5
BR,53052.0,2
BR,53056.0,1
BR,53059.0,3
BR,53061.0,2
BR,53062.0,1
BR,53065.0,1
BR,53066.0,5
BR,53072.0,3
BR,53075.0,24
BR,53081.0,3
BR,53082.0,3
BR,53085.0,2
BR,53087.0,98
BR,53088.0,17
BR,53093.0,45
BR,53094.0,1
BR,53095.0,13
BR,53096.0,1
BR,53097.0,4
BR,53098.0,23
BR,53099.0,42
BR,53102.0,1
BR,53104.0,3
BR,53106.0,3
BR,53108.0,1
BR,53109.0,7
BR,53110.0,26
BR,53111.0,7
BR,53115.0,47
BR,53118.0,12
BR,53119.0,2
BR,53122.0,15
BR,53123.0,27
BR,53127.0,1
BR,53128.0,83
BR,53130.0,3
BR,53131.0,2
BR,53134.0,1
BR,53135.0,29
BR,53140.0,4
BR,53144.0,2
BR,53145.0,2
BR,53146.0,1
BR,53147.0,84
BR,53152.0,2
BR,53153.0,2
BR,53156.0,23
BR,53158.0,3
BR,53160.0,13
BR,53163.0,32
BR,53165.0,1
BR,53170.0,4
BR,53171.0,9
BR,53172.0,18
BR,53173.0,3
BR,53175.0,8
BR,53177.0,4
BR,53184.0,4
BR,53194.0,2
BR,53195.0,25
BR,53201.0,9
BR,53202.0,22
BR,53206.0,4
BR,53209.0,1
BR,53211.0,8
BR,53223.0,4
BR,53226.0,2
BR,53230.0,4
BR,10412,2
BR,10429,27002
BR,10429.0,625
BR,10715,450
BR,10715.0,9
BR,10881,79
BR,10881.0,9
BR,10938,1744
BR,10938.0,48
BR,10954,99
BR,10954.0,1
BR,11242,202
BR,11271,330
BR,11271.0,10
BR,11338,223
BR,11338.0,2
BR,11419,420
BR,11419.0,21
BR,11431,244
BR,11431.0,6
BR,11432,372
BR,11432.0,3
BR,11706,182
BR,11706.0,7
BR,11835,1970
BR,11835.0,95
BR,11844,71
BR,11844.0,4
BR,11896,9
BR,11921,447
BR,11921.0,2
BR,12140,1438
BR,12140.0,31
BR,12956,324
BR,12956.0,18
BR,12989,34
BR,12989.0,1
BR,13357,33
BR,13357.0,1
BR,13878,311
BR,13878.0,7
BR,14282,198
BR,14282.0,21
BR,14463,1195
BR,14463.0,40
BR,14571,943
BR,14571.0,26
BR,14840,775
BR,14840.0,18
BR,14868,9138
BR,14868.0,286
BR,15180,1005
BR,15180.0,21
BR,15201_7162,139
BR,16397,244
BR,16397.0,10
BR,16735,42202
BR,16735.0,1244
BR,17222,3036
BR,17222.0,76
BR,17379,23724
BR,17379.0,876
BR,18479,98
BR,18881,166185
BR,18881.0,5334
BR,1916,1644
BR,1916.0,31
BR,19182,1542
BR,19182.0,36
BR,19200,1
BR,21571,280
BR,21571.0,9
BR,21574,147
BR,21574.0,2
BR,21612,206
BR,22085,24176
BR,22085.0,852
BR,22128,16
BR,22341,205
BR,22341.0,2
BR,22381,52
BR,22381.0,1
BR,22407,2
BR,22431,52
BR,22431.0,2
BR,22689,4819
BR,22689.0,143
BR,23105,355
BR,23105.0,12
BR,23106,3463
BR,23106.0,132
BR,25832,4
BR,25933,813
BR,25933.0,24
BR,26592,333
BR,26592.0,16
BR,26599,33379
BR,26599.0,1148
BR,26606,5
BR,26606.0,1
BR,26609,1600
BR,26609.0,42
BR,26615,14488
BR,26615.0,501
BR,26616,95
BR,26616.0,3
BR,26622,466
BR,26622.0,1
BR,2715,829
BR,2715.0,19
BR,2716,7
BR,27652,314
BR,27652.0,21
BR,27656,2
BR,27664,326
BR,27664.0,2
BR,27688,5
BR,27688.0,2
BR,27693,38
BR,27697,83
BR,27697.0,3
BR,27699,198970
BR,27699.0,6580
BR,27715,17
BR,27715.0,1
BR,27724,8993
BR,27724.0,267
BR,28123,130
BR,28123.0,5
BR,28124,77
BR,28124.0,2
BR,28125,115
BR,28125.0,4
BR,28126,4251
BR,28126.0,183
BR,28129,281
BR,28129.0,1
BR,28130,548
BR,28130.0,14
BR,28131,162
BR,28131.0,7
BR,28134,5
BR,28135,7956
BR,28135.0,363
BR,28138,88
BR,28138.0,5
BR,28139,951
BR,28139.0,11
BR,28140,115
BR,28140.0,2
BR,28141,71
BR,28141.0,4
BR,28142,585
BR,28142.0,29
BR,28144,208
BR,28144.0,17
BR,28145,715
BR,28145.0,22
BR,28146,138
BR,28146.0,10
BR,28147,193
BR,28147.0,6
BR,28152,135
BR,28152.0,7
BR,28153,692
BR,28153.0,23
BR,28154,118
BR,28154.0,7
BR,28156,68
BR,28156.0,6
BR,28158,744
BR,28158.0,22
BR,28160,394
BR,28160.0,15
BR,28161,611
BR,28161.0,15
BR,28163,48
BR,28165,85
BR,28165.0,4
BR,28168,3535
BR,28168.0,168
BR,28169,207
BR,28169.0,11
BR,28171,389
BR,28171.0,13
BR,28172,232
BR,28172.0,7
BR,28173,56
BR,28173.0,1
BR,28174,770
BR,28174.0,19
BR,28183,1637
BR,28183.0,41
BR,28184,95
BR,28184.0,4
BR,28186,1091
BR,28186.0,29
BR,28187,251
BR,28187.0,8
BR,28188,1043
BR,28188.0,28
BR,28190,286
BR,28190.0,12
BR,28191,1025
BR,28191.0,36
BR,28192,8
BR,28192.0,1
BR,28197,35
BR,28198,446
BR,28198.0,20
BR,28199,446
BR,28199.0,18
BR,28201,1065
BR,28201.0,44
BR,28202,2244
BR,28202.0,72
BR,28205,2661
BR,28205.0,106
BR,28207,316
BR,28207.0,2
BR,28208,66
BR,28208.0,4
BR,28210,752
BR,28210.0,26
BR,28212,58
BR,28212.0,6
BR,28213,9
BR,28213.0,3
BR,28218,78
BR,28218.0,2
BR,28219,100
BR,28220,5930
BR,28220.0,216
BR,28223,29
BR,28224,769
BR,28224.0,9
BR,28225,195
BR,28225.0,5
BR,28227,149
BR,28227.0,3
BR,28228,107
BR,28228.0,2
BR,28229,434
BR,28229.0,16
BR,28230,218
BR,28230.0,12
BR,28232,189
BR,28232.0,4
BR,28233,1091
BR,28233.0,49
BR,28235,2
BR,28235.0,4
BR,28236,1086
BR,28236.0,53
BR,28237,919
BR,28237.0,36
BR,28238,859
BR,28238.0,20
BR,28241,238
BR,28241.0,2
BR,28242,13
BR,28242.0,2
BR,28244,463
BR,28244.0,21
BR,28245,114
BR,28245.0,3
BR,28246,894
BR,28246.0,53
BR,28247,138
BR,28247.0,4
BR,28249,14
BR,28252,869
BR,28252.0,33
BR,28254,13
BR,28255,419
BR,28255.0,15
BR,28258,516
BR,28258.0,13
BR,28259,76
BR,28259.0,3
BR,28260,5266
BR,28260.0,197
BR,28263,765
BR,28263.0,28
BR,28264,1776
BR,28264.0,99
BR,28265,486
BR,28265.0,15
BR,28266,269
BR,28266.0,6
BR,28267,35
BR,28268,937
BR,28268.0,60
BR,28269,60
BR,28270,1474
BR,28270.0,31
BR,28271,389
BR,28271.0,11
BR,28272,107
BR,28273,720
BR,28273.0,25
BR,28276,1291
BR,28276.0,52
BR,28277,137
BR,28277.0,4
BR,28279,912
BR,28279.0,27
BR,28280,569
BR,28280.0,21
BR,28281,372
BR,28281.0,8
BR,28283,386
BR,28283.0,15
BR,28284,169
BR,28284.0,12
BR,28285,2100
BR,28285.0,77
BR,28286,1531
BR,28286.0,49
BR,28287,437
BR,28287.0,8
BR,28288,436
BR,28288.0,12
BR,28290,4
BR,28290.0,1
BR,28292,763
BR,28292.0,16
BR,28293,32
BR,28293.0,2
BR,28294,578
BR,28294.0,13
BR,28300,780
BR,28300.0,29
BR,28302,54
BR,28303,445
BR,28303.0,36
BR,28306,797
BR,28306.0,18
BR,28308,62
BR,28308.0,6
BR,28309,240
BR,28309.0,6
BR,28310,587
BR,28310.0,26
BR,28311,197
BR,28311.0,9
BR,28322,1004
BR,28322.0,37
BR,28323,231
BR,28323.0,5
BR,28326,102
BR,28326.0,6
BR,28328,759
BR,28328.0,16
BR,28329,433
BR,28329.0,9
BR,28330,110
BR,28330.0,3
BR,28331,753
BR,28331.0,24
BR,28333,1778
BR,28333.0,23
BR,28334,329
BR,28334.0,26
BR,28338,465
BR,28338.0,29
BR,28339,463
BR,28339.0,2
BR,28340,421
BR,28340.0,16
BR,28341,34
BR,28341.0,2
BR,28343,845
BR,28343.0,26
BR,28345,12
BR,28345.0,1
BR,28346,1481
BR,28346.0,55
BR,28347,12618
BR,28347.0,439
BR,28349,916
BR,28349.0,36
BR,28352,146
BR,28352.0,18
BR,28353,18
BR,28353.0,2
BR,28355,610
BR,28355.0,19
BR,28359,471
BR,28359.0,21
BR,28360,2808
BR,28360.0,98
BR,28362,49
BR,28364,194
BR,28364.0,4
BR,28366,263
BR,28366.0,5
BR,28367,10
BR,28368,5777
BR,28368.0,252
BR,28370,139
BR,28370.0,3
BR,28571,336
BR,28571.0,2
BR,28572,10
BR,28572.0,1
BR,28573,142141
BR,28573.0,4809
BR,28576,124
BR,28576.0,5
BR,28580,1519
BR,28580.0,41
BR,28582,78
BR,28582.0,2
BR,28583,1022
BR,28583.0,18
BR,28584,2
BR,28589,207
BR,28589.0,8
BR,28590,994
BR,28590.0,3
BR,28591,118
BR,28591.0,4
BR,28595,155
BR,28598,627
BR,28598.0,17
BR,28599,2
BR,28606,209
BR,28606.0,21
BR,28613,1106
BR,28613.0,44
BR,28614,1
BR,28618,188
BR,28618.0,1
BR,28620,2540
BR,28620.0,57
BR,28621,75
BR,28621.0,4
BR,28623,150
BR,28624,1990
BR,28624.0,83
BR,28634,307
BR,28634.0,18
BR,28635,1609
BR,28635.0,54
BR,28637,246
BR,28637.0,2
BR,28640,105
BR,28640.0,4
BR,28642,726
BR,28642.0,31
BR,28644,16
BR,28645,31
BR,28647,480
BR,28647.0,14
BR,28649,2044
BR,28649.0,50
BR,28650,639
BR,28650.0,27
BR,28651,125
