dst_ip,Frequency
1.13.94.11,6
1.13.95.0,6
1.130.10.0,6
1.130.17.0,6
1.130.187.1,6
1.130.187.10,6
1.130.188.1,6
1.130.19.0,6
1.130.190.1,6
1.130.191.1,6
1.130.192.1,6
1.130.195.1,6
1.130.198.1,6
1.130.2.0,6
1.130.242.0,6
1.130.4.0,6
1.130.42.118,7
1.130.5.0,6
1.130.7.0,6
1.130.84.11,6
1.130.85.11,6
1.131.110.10,8
1.131.193.1,6
1.131.194.13,6
1.131.195.1,6
1.131.23.0,6
1.131.28.0,6
1.131.83.11,6
1.131.88.11,6
1.131.93.11,6
1.131.94.11,6
1.132.12.0,6
1.132.13.0,6
1.132.145.0,6
1.132.17.0,6
1.132.171.11,6
1.132.189.1,6
1.132.191.1,6
1.132.193.1,6
1.132.194.1,6
1.132.198.1,6
1.132.234.5,6
1.132.27.0,6
1.132.43.8,6
1.132.43.9,6
1.132.83.11,8
1.132.85.11,6
1.132.92.11,6
1.133.1.0,6
1.133.12.0,6
1.133.14.0,6
1.133.188.1,6
1.133.190.1,6
1.133.192.1,6
1.133.193.1,6
1.133.194.1,6
1.133.196.1,6
1.133.197.1,6
1.133.198.1,6
1.133.205.12,6
1.133.230.0,6
1.133.29.0,6
1.133.39.55,6
1.133.4.0,6
1.133.7.0,6
1.133.82.0,6
1.133.89.11,6
1.133.91.11,6
1.133.92.11,6
1.134.10.0,6
1.134.126.0,6
1.134.13.0,9
1.134.186.1,6
1.134.187.1,6
1.134.188.1,6
1.134.190.1,6
1.134.191.1,6
1.134.195.1,6
1.134.196.1,6
1.134.197.1,6
1.134.20.0,6
1.134.26.0,6
1.134.28.0,6
1.134.37.122,9
1.134.4.13,6
1.134.64.168,6
1.134.86.11,6
1.134.90.11,6
1.134.91.11,6
1.135.167.216,114
1.135.186.1,6
1.135.195.1,6
1.135.196.1,6
1.135.22.0,6
1.135.24.0,6
1.135.25.0,6
1.135.29.0,6
1.135.4.0,6
1.135.43.124,6
1.135.69.1,6
1.135.9.0,6
1.135.9.3,6
1.136.11.0,6
1.136.16.0,6
1.136.162.5,6
1.136.18.0,6
1.136.186.1,6
1.136.187.1,6
1.136.187.74,17
1.136.198.1,6
1.136.4.0,6
1.136.6.0,6
1.136.8.0,6
1.136.83.11,6
1.136.91.0,6
1.136.93.11,6
1.137.122.119,7
1.137.18.0,6
1.137.186.1,6
1.137.187.1,6
1.137.188.1,6
1.137.189.1,6
1.137.190.1,6
1.137.191.1,6
1.137.193.1,6
1.137.194.1,6
1.137.195.1,6
1.137.196.1,6
1.137.198.1,6
1.137.22.0,6
1.137.30.0,6
1.137.5.0,6
1.137.83.11,6
1.137.87.11,6
1.137.92.11,6
1.137.93.11,6
1.138.11.0,6
1.138.16.0,6
1.138.187.1,6
1.138.191.1,6
1.138.192.1,6
1.138.196.1,8
1.138.21.0,6
1.138.26.0,6
1.138.29.0,6
1.138.86.11,6
1.138.89.11,6
1.138.92.11,6
1.138.94.11,6
1.139.10.0,6
1.139.11.0,6
1.139.164.6,8
1.139.187.1,6
1.139.189.1,6
1.139.192.1,6
1.139.193.1,6
1.139.194.1,6
1.139.195.1,6
1.139.197.1,6
1.139.23.0,6
1.139.25.0,6
1.139.3.0,6
1.139.30.0,6
1.139.5.0,6
1.139.8.0,6
1.139.82.7,8
1.139.83.11,6
1.139.90.11,6
1.139.91.11,6
1.139.93.11,6
1.14.13.0,6
1.14.149.1,6
1.14.16.0,6
1.14.175.0,6
1.14.18.0,6
1.14.188.1,6
1.14.190.1,6
1.14.192.1,6
1.14.198.1,6
1.14.20.0,6
1.14.209.9,6
1.14.21.0,6
1.14.23.0,6
1.14.239.0,6
1.14.26.0,6
1.14.28.0,6
1.14.30.0,6
1.14.81.237,113
1.14.85.11,6
1.14.86.11,6
1.14.93.11,6
1.140.191.1,6
1.140.195.1,6
1.140.198.1,6
1.140.84.11,6
1.140.85.11,6
1.140.89.11,6
1.140.90.11,6
1.141.11.0,6
1.141.18.0,6
1.141.186.1,6
1.141.186.254,6
1.141.187.1,6
1.141.188.1,6
1.141.189.1,6
1.141.193.1,6
1.141.194.1,6
1.141.195.1,6
1.141.196.1,6
1.141.197.1,6
1.141.22.0,7
1.141.23.0,6
1.141.28.0,6
1.141.33.120,8
1.141.4.0,6
1.141.56.14,6
1.141.6.0,6
1.141.83.11,6
1.141.89.11,6
1.142.0.119,6
1.142.10.0,6
1.142.146.1,8
1.142.15.0,6
1.142.17.0,6
1.142.186.1,6
1.142.187.1,6
1.142.187.251,8
1.142.188.1,6
1.142.191.1,6
1.142.192.1,8
1.142.194.1,6
1.142.195.1,6
1.142.196.1,6
1.142.197.1,6
1.142.198.1,6
1.142.20.0,6
1.142.30.0,6
1.142.7.0,6
1.142.8.0,6
1.142.87.11,6
1.142.90.11,6
1.142.93.11,6
1.143.119.68,18
1.143.14.0,6
1.143.186.1,6
1.143.187.1,6
1.143.188.1,6
1.143.189.1,6
1.143.19.0,6
1.143.190.1,6
1.143.193.1,6
1.143.194.1,6
1.143.217.0,6
1.143.22.0,6
1.143.23.14,6
1.143.24.0,6
1.143.26.0,8
1.143.7.15,8
1.143.87.11,6
1.143.89.11,6
1.143.92.11,6
1.143.93.13,6
1.144.163.14,6
1.144.18.0,6
1.144.186.1,6
1.144.187.1,6
1.144.189.1,6
1.144.190.1,6
1.144.191.1,6
1.144.192.1,6
1.144.20.0,6
1.144.23.0,6
1.144.235.0,6
1.144.25.0,6
1.144.3.0,6
1.144.90.11,6
1.144.93.11,6
1.145.10.0,6
1.145.143.0,6
1.145.15.0,6
1.145.186.1,6
1.145.188.1,6
1.145.189.1,6
1.145.19.0,6
1.145.190.1,6
1.145.192.1,6
1.145.195.1,6
1.145.198.1,6
1.145.219.0,6
1.145.27.0,6
1.145.30.0,6
1.145.4.0,6
1.145.5.0,6
1.145.87.11,6
1.145.94.14,8
1.146.14.0,6
1.146.167.202,9
1.146.18.0,6
1.146.189.1,6
1.146.190.1,6
1.146.191.1,6
1.146.192.1,6
1.146.193.1,6
1.146.195.1,6
1.146.197.1,6
1.146.216.11,6
1.146.23.0,6
1.146.24.0,6
1.146.29.0,6
1.146.86.11,6
1.146.88.11,6
1.146.9.0,6
1.147.13.0,6
1.147.15.0,6
1.147.17.0,6
1.147.187.1,6
1.147.194.1,6
1.147.195.1,6
1.147.198.1,6
1.147.20.0,6
1.147.22.0,6
1.147.23.0,6
1.147.237.14,8
1.147.25.0,6
1.147.28.0,6
1.147.3.0,6
1.147.30.0,6
1.147.8.0,6
1.147.83.11,6
1.147.87.11,6
1.147.90.11,6
1.147.93.11,6
1.148.1.0,6
1.148.14.0,6
1.148.16.0,6
1.148.17.0,6
1.148.186.1,6
1.148.187.1,6
1.148.188.1,6
1.148.192.1,6
1.148.193.1,6
1.148.2.0,6
1.148.21.0,6
1.148.236.0,6
1.148.24.0,6
1.148.249.4,8
1.148.4.0,6
1.148.43.0,6
1.148.53.7,6
1.148.6.0,6
1.148.7.0,6
1.148.86.11,6
1.148.87.11,6
1.148.92.11,6
1.149.13.0,6
1.149.15.0,6
1.149.18.0,6
1.149.186.1,6
1.149.189.1,6
1.149.190.1,6
1.149.195.1,6
1.149.198.1,6
1.149.20.0,6
1.149.238.221,114
1.149.26.0,6
1.149.40.41,18
1.149.5.0,6
1.149.8.0,6
1.149.83.11,6
1.149.86.11,6
1.149.90.11,6
1.149.91.11,6
1.149.93.11,6
1.15.0.0,24
1.15.1.0,23
1.15.130.0,6
1.15.132.243,17
1.15.189.1,6
1.15.19.0,6
1.15.190.1,6
1.15.193.1,6
1.15.194.1,6
1.15.197.1,6
1.15.20.0,6
1.15.22.0,6
1.15.234.0,6
1.15.24.0,6
1.15.29.0,6
1.15.30.0,6
1.15.7.0,6
1.15.85.11,6
1.15.89.11,6
1.15.90.11,6
1.15.92.11,6
1.15.97.0,6
1.150.121.15,6
1.150.171.0,6
1.150.187.1,6
1.150.188.1,6
1.150.19.0,6
1.150.191.1,6
1.150.197.1,6
1.150.198.1,6
1.150.2.0,6
1.150.214.0,6
1.150.22.0,6
1.150.22.15,6
1.150.226.217,114
1.150.27.0,6
1.150.4.0,6
1.150.47.12,8
1.150.51.12,8
1.150.69.1,6
1.150.7.0,6
1.150.84.11,6
1.150.85.11,6
1.150.89.11,6
1.150.90.11,6
1.150.92.11,6
1.150.94.11,6
1.151.1.0,6
1.151.186.1,6
1.151.190.1,6
1.151.192.1,6
1.151.194.1,6
1.151.197.13,6
1.151.198.1,6
1.151.23.0,6
1.151.25.14,6
1.152.10.0,6
1.152.12.0,6
1.152.13.0,6
1.152.15.0,6
1.152.154.125,6
1.152.172.1,6
1.152.179.0,6
1.152.187.1,6
1.152.188.1,6
1.152.190.1,6
1.152.191.1,6
1.152.193.1,6
1.152.195.1,6
1.152.196.1,8
1.152.197.1,6
1.152.20.0,6
1.152.27.0,6
1.152.28.0,6
1.152.35.4,6
1.152.5.0,6
1.152.88.11,6
1.152.92.11,6
1.152.93.11,6
1.153.1.0,6
1.153.16.0,6
1.153.17.0,6
1.153.187.1,6
1.153.19.0,6
1.153.190.1,6
1.153.196.1,6
1.153.21.0,6
1.153.243.12,6
1.153.252.11,6
1.153.27.0,6
1.153.4.0,6
1.153.6.0,6
1.153.7.0,6
1.153.89.11,6
1.153.91.11,6
1.153.94.11,6
1.154.11.0,6
1.154.187.1,6
1.154.193.1,6
1.154.194.1,6
1.154.208.0,6
1.154.219.2,6
1.154.88.11,6
1.154.91.11,6
1.154.93.11,6
1.155.166.1,8
1.155.187.1,6
1.155.19.0,6
1.155.190.1,6
1.155.191.1,6
1.155.192.1,6
1.155.197.1,6
1.155.198.0,6
1.155.2.0,6
1.155.20.0,6
1.155.24.0,6
1.155.27.0,6
1.155.30.0,6
1.155.38.1,6
1.155.49.5,6
1.155.5.0,6
1.155.59.37,17
1.155.64.12,6
1.155.89.11,6
