Timestamp,Id,asn,src_port
1/31/2011 21:14,0.0.1.240,8167,19381
1/31/2011 21:14,0.0.1.246,27699,1413
1/31/2011 21:15,0.0.2.0,7738,2540
1/31/2011 21:15,0.0.2.12,7738,2888
1/31/2011 21:15,0.0.2.14,27699,1951
1/31/2011 21:15,0.0.2.22,28573,3197
1/31/2011 21:15,0.0.2.25,7738,1359
1/31/2011 21:15,0.0.2.27,7738,19041
1/31/2011 21:15,0.0.2.29,27699,4683
1/31/2011 21:15,0.0.2.31,7738,21065
1/31/2011 21:15,0.0.2.37,7738,4012
1/31/2011 21:15,0.0.2.41,7738,12597
1/31/2011 21:15,0.0.2.46,28573,61227
1/31/2011 21:15,0.0.1.206,28183,63349
1/31/2011 21:15,0.0.2.53,28573,1854
1/31/2011 21:15,0.0.2.59,7738,2416
1/31/2011 21:15,0.0.2.62,8167,3770
1/31/2011 21:15,0.0.2.65,28573,1731
1/31/2011 21:15,0.0.2.67,7738,2596
1/31/2011 21:15,0.0.2.71,4.565,1065
1/31/2011 21:15,0.0.2.88,18881,29159
1/31/2011 21:15,0.0.2.92,27699,3302
1/31/2011 21:15,0.0.2.94,28573,59073
1/31/2011 21:15,0.0.2.97,7738,4223
1/31/2011 21:15,0.0.2.101,7738,1414
1/31/2011 21:15,0.0.2.107,7738,2643
1/31/2011 21:15,0.0.2.113,7738,6654
1/31/2011 21:15,0.0.2.117,7738,61092
1/31/2011 21:15,0.0.2.121,27699,63320
1/31/2011 21:15,0.0.2.126,7738,3280
1/31/2011 21:15,0.0.2.135,7738,2136
1/31/2011 21:15,0.0.2.137,7738,60630
1/31/2011 21:15,0.0.2.145,28573,4175
1/31/2011 21:15,0.0.2.146,8167,29317
1/31/2011 21:15,0.0.2.149,26599,1075
1/31/2011 21:15,0.0.2.156,8167,19130
1/31/2011 21:16,0.0.2.178,8167,2396
1/31/2011 21:16,0.0.2.181,27699,2945
1/31/2011 21:16,0.0.2.187,8167,4373
1/31/2011 21:16,0.0.2.200,7738,4985
1/31/2011 21:16,0.0.2.208,18881,47000
1/31/2011 21:16,0.0.2.211,4230,3261
1/31/2011 21:16,0.0.2.217,4230,3665
1/31/2011 21:16,0.0.2.219,7738,26134
1/31/2011 21:16,0.0.2.220,8167,3042
1/31/2011 21:16,0.0.2.228,27699,61365
1/31/2011 21:16,0.0.2.229,17379,2821
1/31/2011 21:16,0.0.2.231,28135,3122
1/31/2011 21:16,0.0.2.233,7738,2978
1/31/2011 21:16,0.0.2.243,4230,33531
1/31/2011 21:16,0.0.3.4,7738,61495
1/31/2011 21:16,0.0.3.5,4.519,1072
1/31/2011 21:16,0.0.3.14,28589,1169
1/31/2011 21:16,0.0.0.92,18881,2738
