Source,Target,Type
0.0.0.202,1.95.0.0,Directed
0.0.0.202,1.95.0.0,Directed
0.0.0.203,1.29.0.0,Directed
0.0.0.203,1.29.0.0,Directed
0.0.0.204,1.87.0.0,Directed
0.0.0.204,1.87.0.0,Directed
0.0.0.205,1.7.0.0,Directed
0.0.0.205,1.7.0.0,Directed
0.0.0.206,1.67.0.0,Directed
0.0.0.206,1.67.0.0,Directed
0.0.0.207,1.49.0.0,Directed
0.0.0.207,1.49.0.0,Directed
0.0.0.208,1.19.0.0,Directed
0.0.0.208,1.19.0.0,Directed
0.0.0.209,1.97.0.0,Directed
0.0.0.209,1.97.0.0,Directed
0.0.0.21,1.31.0.0,Directed
0.0.0.21,1.31.0.0,Directed
0.0.0.210,1.9.0.0,Directed
0.0.0.210,1.9.0.0,Directed
0.0.0.211,1.69.0.0,Directed
0.0.0.211,1.69.0.0,Directed
0.0.0.212,1.21.0.0,Directed
0.0.0.212,1.21.0.0,Directed
0.0.0.213,1.79.0.0,Directed
0.0.0.213,1.79.0.0,Directed
0.0.0.214,1.89.0.0,Directed
0.0.0.214,1.63.1.0,Directed
0.0.0.214,1.89.0.0,Directed
0.0.0.214,1.63.1.0,Directed
0.0.0.215,1.81.0.0,Directed
0.0.0.215,1.81.0.0,Directed
0.0.0.216,1.11.0.0,Directed
0.0.0.216,1.11.0.0,Directed
0.0.0.217,1.81.0.0,Directed
0.0.0.217,1.81.0.0,Directed
0.0.0.218,1.43.0.0,Directed
0.0.0.218,1.43.0.0,Directed
0.0.0.219,1.71.0.0,Directed
0.0.0.219,1.71.0.0,Directed
0.0.0.22,1.9.0.0,Directed
0.0.0.22,1.9.0.0,Directed
0.0.0.220,1.33.0.0,Directed
0.0.0.220,1.33.0.0,Directed
0.0.0.221,1.63.0.0,Directed
0.0.0.221,1.63.0.0,Directed
0.0.0.222,1.35.0.0,Directed
0.0.0.222,1.35.0.0,Directed
0.0.0.223,1.25.0.0,Directed
0.0.0.223,1.25.0.0,Directed
0.0.0.224,1.45.0.0,Directed
0.0.0.224,1.45.0.0,Directed
0.0.0.225,1.73.0.0,Directed
0.0.0.225,1.73.0.0,Directed
0.0.0.226,1.55.0.0,Directed
0.0.0.226,1.253.0.0,Directed
0.0.0.226,1.55.0.0,Directed
0.0.0.226,1.253.0.0,Directed
0.0.0.227,1.103.0.0,Directed
0.0.0.227,1.103.0.0,Directed
0.0.0.228,1.15.0.0,Directed
0.0.0.228,1.15.0.0,Directed
0.0.0.229,1.13.0.0,Directed
0.0.0.229,1.13.0.0,Directed
0.0.0.23,1.21.0.0,Directed
0.0.0.23,1.21.0.0,Directed
0.0.0.230,1.65.0.0,Directed
0.0.0.230,1.65.0.0,Directed
0.0.0.231,1.47.0.0,Directed
0.0.0.231,1.47.0.0,Directed
0.0.0.232,1.67.0.0,Directed
0.0.0.232,1.67.0.0,Directed
0.0.0.233,1.91.0.0,Directed
0.0.0.233,1.75.1.0,Directed
0.0.0.233,1.91.0.0,Directed
0.0.0.233,1.75.1.0,Directed
0.0.0.234,1.37.0.0,Directed
0.0.0.234,1.37.0.0,Directed
0.0.0.235,1.57.0.0,Directed
0.0.0.235,1.57.0.0,Directed
0.0.0.236,1.95.0.0,Directed
0.0.0.236,1.95.0.0,Directed
0.0.0.237,1.29.0.0,Directed
0.0.0.237,1.29.0.0,Directed
0.0.0.238,1.39.0.0,Directed
0.0.0.238,1.39.0.0,Directed
0.0.0.239,1.49.0.0,Directed
0.0.0.239,1.49.0.0,Directed
0.0.0.24,1.1.0.0,Directed
0.0.0.24,1.1.0.0,Directed
0.0.0.240,1.87.0.0,Directed
0.0.0.240,1.87.0.0,Directed
0.0.0.241,1.103.0.0,Directed
0.0.0.241,1.103.0.0,Directed
0.0.0.242,1.107.0.0,Directed
0.0.0.242,1.107.0.0,Directed
0.0.0.243,1.19.0.0,Directed
0.0.0.243,1.19.0.0,Directed
0.0.0.244,1.93.0.0,Directed
0.0.0.244,1.93.0.0,Directed
0.0.0.245,1.69.0.0,Directed
0.0.0.245,1.69.0.0,Directed
